proxies,pigs,chickens,carp,salmon,octopuses,shrimp,crabs,crayfish,bees,bsf,silkworms
boredom-like behavior,likely yes,likely yes,unknown,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
concept of death,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
curiosity-like behavior,unknown,unknown,lean yes,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
depression-like behavior,likely yes,likely yes,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,lean yes,unknown
disgust-like behavior,lean yes,likely yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
displacement behavior,likely yes,likely yes,unknown,unknown,unknown,lean yes,unknown,unknown,lean yes,unknown,unknown
effects on exploratory behavior from pain,likely yes,likely yes,lean yes,lean yes,likely yes,unknown,unknown,unknown,unknown,unknown,unknown
embarrassment-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
emotional contagion,likely yes,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
emotional reactions to learning,lean yes,lean yes,unknown,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
envy-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
exhaustion-like behavior,likely yes,likely yes,likely yes,likely yes,likely yes,likely yes,unknown,lean yes,unknown,unknown,lean yes
fear-like behavior,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,lean yes,likely yes,lean yes,lean yes,unknown
flexible self-protective behavior,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,likely yes,lean yes,lean yes,unknown,lean yes
friendship-like behavior,likely yes,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
guilt-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
helping behavior,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,lean yes,lean yes,unknown,unknown
hyperalgesia,lean yes,lean yes,unknown,unknown,likely yes,unknown,unknown,unknown,unknown,likely yes,likely yes
jealousy-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
joy-like behavior,unknown,unknown,lean yes,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
liking-wanting dissociation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
loneliness-like behavior,likely yes,likely yes,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown
love-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
maternal response to offspring distress,likely yes,likely yes,lean no,lean no,likely no,lean no,unknown,unknown,unknown,likely no,likely no
mourning-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
panic-like behavior,likely yes,likely yes,lean yes,likely yes,lean yes,unknown,unknown,unknown,unknown,unknown,unknown
parental care,likely yes,likely yes,lean no,likely yes,likely no,likely no,lean yes,likely yes,likely yes,likely no,likely no
play behavior,likely yes,likely yes,lean yes,lean yes,likely yes,unknown,unknown,unknown,lean yes,unknown,unknown
play vocalization,likely yes,unknown,unknown,unknown,likely no,unknown,unknown,unknown,unknown,unknown,unknown
pride-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
prioritizes pain response in relevant context,likely yes,likely yes,lean yes,likely yes,lean yes,likely yes,lean yes,unknown,unknown,unknown,unknown
ptsd-like behavior,lean yes,unknown,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
relief learning,likely yes,unknown,lean yes,unknown,likely yes,lean yes,lean yes,lean yes,lean yes,unknown,unknown
rescue behavior,lean yes,lean yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
response modified by painkillers,likely yes,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,likely yes,likely yes,unknown,unknown
reward based learning,likely yes,likely yes,likely yes,likely yes,likely yes,lean yes,likely yes,likely yes,likely yes,unknown,likely yes
sadness-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
self-medication,lean yes,lean yes,lean yes,lean yes,likely yes,unknown,unknown,lean yes,lean yes,unknown,lean yes
sensory-affective dissociation,unknown,lean yes,unknown,unknown,likely yes,unknown,unknown,unknown,unknown,unknown,unknown
shame-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
social buffering,lean yes,likely yes,likely yes,unknown,unknown,unknown,unknown,unknown,likely yes,unknown,unknown
sympathy-like behavior,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
taste aversion behavior,likely yes,likely yes,likely yes,likely yes,lean yes,likely yes,likely yes,likely yes,likely yes,lean yes,lean no
trace conditioning and pain,unknown,unknown,lean yes,lean yes,likely yes,unknown,unknown,unknown,unknown,unknown,unknown
valuing behavior,likely yes,lean yes,unknown,unknown,lean yes,unknown,lean yes,lean yes,lean yes,unknown,unknown
working memory load,likely yes,likely yes,lean yes,lean yes,likely yes,unknown,unknown,lean yes,likely yes,unknown,lean yes
